name                       ,year ,price  ,MPG      ,l/100kms ,0-60 (Mph) ,reliability /10 ,works in snow ,number of seats ,cargo space (L) ,premium gas ,weight lbs ,power (hp) ,power to weight ,monthly fuel costs ,Price to Preformance: ,Overall Score (weighted)
Ford Focus ST              ,2015 , 16000 , 26      ,   9.047 ,      6.3  ,            6.5 ,"TRUE"        ,              5 ,        674     ,        1.1 ,      3223 ,       252 ,         0.0782 ,            135.43 ,                48.88 ,                    1.47
scion TC                   ,2015 , 15000 , 27      ,   8.712 ,      6.9  ,            7   ,"TRUE"        ,              5 ,        416     ,        1   ,      3082 ,       179 ,         0.0581 ,            118.56 ,                38.73 ,                    1.52
Mazda CX-5 AWD             ,2014 , 14800 , 26      ,   9.047 ,      7.2  ,            8   ,"TRUE"        ,              5 ,        965     ,        1   ,      3532 ,       184 ,         0.0521 ,            123.12 ,                35.20 ,                    1.55
Honda Civic Si             ,2010 , 14000 , 24      ,   9.801 ,      7.4  ,            8   ,"TRUE"        ,              5 ,        340     ,        1.1 ,      2954 ,       197 ,         0.0667 ,            146.72 ,                47.64 ,                    1.86
Nissan 350z                ,2004 , 12000 , 19.8    ,  11.88  ,      5.6  ,            6   ,"FALSE"       ,              2 ,        193     ,        1.1 ,      3456 ,       286 ,         0.0828 ,            177.84 ,                69.00 ,                    1.94
Kia soul                   ,2013 , 12000 , 27      ,   8.712 ,      8.7  ,            7   ,"TRUE"        ,              5 ,        671     ,        1   ,      2690 ,       138 ,         0.0513 ,            118.56 ,                42.75 ,                    2.10
Honda Civic base           ,2012 , 13000 , 32      ,   7.35  ,      8.9  ,            9   ,"TRUE"        ,              5 ,        353     ,        1   ,      2705 ,       140 ,         0.0518 ,            100.03 ,                39.85 ,                    2.76
Acura RSX-S                ,2002 , 11000 , 24      ,   9.801 ,      7    ,            7   ,"TRUE"        ,              5 ,        504     ,        1.1 ,      2766 ,       200 ,         0.0723 ,            146.72 ,                65.73 ,                    2.85
Honda CR-Z                 ,2016 , 12000 , 40      ,   5.88  ,      8.8  ,            7   ,"TRUE"        ,              2 ,        710     ,        1   ,      2700 ,       130 ,         0.0481 ,             80.02 ,                40.08 ,                    2.92
Mazda NA miata             ,1990 ,  9000 , 24      ,   9.801 ,      9.2  ,            7   ,"FALSE"       ,              2 ,        150     ,        1   ,      2116 ,       116 ,         0.0548 ,            133.38 ,                60.89 ,                    3.55
Hyundai Tiburon V6         ,2008 ,  6500 , 20      ,  11.761 ,      7.1  ,            4.5 ,"TRUE"        ,              4 ,        420     ,        1   ,      3010 ,       172 ,         0.0571 ,            160.06 ,                87.85 ,                    3.80
Lexus ES 350               ,2007 , 11000 , 23      ,  10.227 ,      6.8  ,            9.5 ,"TRUE"        ,              5 ,        416     ,        1.1 ,      3580 ,       272 ,         0.076  ,            153.10 ,                69.09 ,                    3.90
Honda Fit Automatic        ,2013 , 10000 , 31      ,   7.588 ,      9    ,            9   ,"TRUE"        ,              5 ,        583     ,        1   ,      2577 ,       117 ,         0.0454 ,            103.27 ,                45.40 ,                    3.96
Honda accord EX V6         ,2009 ,  9600 , 22      ,  10.692 ,      6.8  ,            8   ,"TRUE"        ,              5 ,        396     ,        1   ,      3567 ,       271 ,         0.076  ,            145.51 ,                79.17 ,                    4.53
Toyota Camry V6            ,2011 , 11000 , 23      ,  10.227 ,      6    ,           10   ,"TRUE"        ,              5 ,        410     ,        1   ,      3483 ,       268 ,         0.0769 ,            139.18 ,                69.91 ,                    4.57
Hyundai veloster turbo     ,2014 , 10000 , 27      ,   8.712 ,      6.8  ,            8   ,"FALSE"       ,              4 ,        438     ,        1   ,      2888 ,       201 ,         0.0696 ,            118.56 ,                69.60 ,                    4.70
Acura RSX Base             ,2002 ,  8000 , 25      ,   9.409 ,      7.1  ,            7   ,"TRUE"        ,              4 ,        504     ,        1   ,      2769 ,       160 ,         0.0578 ,            128.05 ,                72.25 ,                    4.94
Celica                     ,2002 ,  9000 , 27      ,   8.712 ,      7.8  ,            8.5 ,"FALSE"       ,              4 ,        365     ,        1   ,      2425 ,       140 ,         0.0577 ,            118.56 ,                64.11 ,                    5.11
Scion TC                   ,2011 ,  8500 , 26      ,   9.047 ,      8.6  ,            8   ,"TRUE"        ,              5 ,        416     ,        1   ,      3101 ,       180 ,         0.058  ,            123.12 ,                68.24 ,                    5.22
Toyota Corolla XRS         ,2005 ,  8000 , 25.5    ,   9.224 ,      7.6  ,            7   ,"TRUE"        ,              5 ,        385     ,        1   ,      2670 ,       170 ,         0.0637 ,            125.53 ,                79.63 ,                    5.55
Honda Fit Manual           ,2012 ,  8700 , 31      ,   7.588 ,      8.2  ,           10   ,"TRUE"        ,              5 ,       1622.555 ,        1   ,      2509 ,       117 ,         0.0466 ,            103.27 ,                53.56 ,                    5.96
Honda Del Sol              ,1993 ,  6000 , 27      ,   8.712 ,      9    ,            5   ,"FALSE"       ,              2 ,        297     ,        1   ,      2414 ,       125 ,         0.0518 ,            118.56 ,                86.33 ,                    6.07
scion IQ                   ,2014 ,  8000 , 37      ,   6.357 ,     12    ,            8   ,"TRUE"        ,              4 ,        100     ,        1   ,      2127 ,        94 ,         0.0442 ,             86.51 ,                55.25 ,                    6.39
Porsche GT3 RS             ,2023 ,345841 , 16      ,  14.701 ,      3    ,            4.5 ,"FALSE"       ,              4 ,        130     ,        1.1 ,      3268 ,       518 ,         0.1585 ,            220.07 ,                 4.58 ,                    0.00
Tesla model S plaid        ,2023 ,124990 ,101      ,   2.329 ,      1.98 ,           10   ,"TRUE"        ,              5 ,        795     ,        1   ,      4766 ,      1021 ,         0.2142 ,             31.70 ,                17.14 ,                    0.43
Toyota Corolla CE          ,2005 ,  6000 , 31.1363 ,   7.554 ,      9.5  ,            9   ,"TRUE"        ,              5 ,        385     ,        1   ,      2580 ,       130 ,         0.0504 ,            102.80 ,                84.00 ,                   12.26
